Area,Hourly_Wage
Barking and Dagenham,13.10
Barnet,15.15
Bexley,16.44
Brent,15.02
Bromley,19.72
Camden,18.91
Croydon,15.61
Ealing,15.33
Enfield,14.55
Greenwich,15.90
Hackney,16.74
Hammersmith and Fulham,20.78
Haringey,16.06
Harrow,17.70
Havering,16.13
Hillingdon,15.39
Hounslow,14.37
Islington,21.28
Kensington and Chelsea,22.33
Kingston upon Thames,18.35
Lambeth,18.42
Lewisham,16.46
Merton,16.74
Newham,14.50
Redbridge,16.85
Richmond upon Thames,21.08
Southwark,17.61
Sutton,15.80
Tower Hamlets,19.21
Waltham Forest,16.78
Wandsworth,20.58
Westminster,20.14
